Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28099 Navas del Rey,2021,16.853,15.05,35.127,13.22,30.021,11.299
28100 Nuevo BaztÃ¡n,2021,20.572,18.55,48.068,16.246,39.201,13.249
28101 Olmeda de las Fuentes,2021,24.126,18.9,50.898,20.822,40.229,16.457
28102 Orusco de TajuÃ±a,2021,15.7,15.05,29.797,12.414,25.821,10.757
28104 Paracuellos de Jarama,2021,28.779,25.55,71.465,22.674,54.713,17.359
28106 Parla,2021,16.098,15.05,36.139,11.965,30.961,10.251
28107 Patones,2021,21.935,20.65,42.846,17.925,35.345,14.787
28108 Pedrezuela,2021,21.385,19.25,45.701,17.299,37.099,14.043
28109 Pelayos de la Presa,2021,15.081,13.65,30.777,12.083,26.205,10.288
28110 Perales de TajuÃ±a,2021,16.348,15.05,33.81,12.72,28.361,10.67
28111 Pezuela de las Torres,2021,18.524,17.15,35.206,14.99,29.766,12.674
28112 Pinilla del Valle,2021,19.904,17.85,35.772,18.071,30.037,15.173
28113 Pinto,2021,21.082,19.25,46.24,16.615,38.031,13.665
28114 PiÃ±uÃ©car-Gandullas,2021,19.005,17.85,33.116,16.194,27.556,13.475
28115 Pozuelo de AlarcÃ³n,2021,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28116 Pozuelo del Rey,2021,19.014,17.85,38.43,14.62,32.336,12.301
28117 PrÃ¡dena del RincÃ³n,2021,26.239,18.55,46.488,23.244,38.187,19.093
28118 Puebla de la Sierra,2021,,,32.418,18.151,27.228,15.245
28119 Quijorna,2021,19.8,17.85,44.613,15.328,36.689,12.606
28120 RascafrÃ­a,2021,20.366,17.15,40.674,17.789,33.581,14.687
28121 RedueÃ±a,2021,20.6,19.25,40.242,17.15,33.69,14.358
28122 Ribatejada,2021,19.374,17.15,38.737,15.688,31.379,12.708
28123 Rivas-Vaciamadrid,2021,25.644,23.45,60.809,20.386,48.274,16.184
28124 Robledillo de la Jara,2021,18.655,16.45,34.329,16.683,28.929,14.059
