 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
"Molinos, Los",238.0,12.0,43.0,48.0,7.0,56.0,72.0,5.0,7.0,22.0,186.0,22.0,02,2022
Montejo de la Sierra,15.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,12.0,0.0,02,2022
Moraleja de Enmedio,257.0,11.0,29.0,53.0,13.0,70.0,81.0,5.0,32.0,14.0,194.0,16.0,02,2022
Moralzarzal,587.0,29.0,62.0,165.0,13.0,98.0,220.0,7.0,27.0,35.0,491.0,27.0,02,2022
Morata de Tajuï¿½a,531.0,16.0,68.0,122.0,13.0,124.0,188.0,5.0,69.0,42.0,364.0,30.0,02,2022
Mï¿½stoles,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Navacerrada,129.0,5.0,12.0,37.0,5.0,27.0,46.0,5.0,5.0,5.0,114.0,6.0,02,2022
Navalafuente,96.0,0.0,8.0,32.0,5.0,24.0,28.0,5.0,5.0,8.0,78.0,5.0,02,2022
Navalagamella,169.0,5.0,22.0,42.0,5.0,43.0,57.0,5.0,6.0,15.0,130.0,14.0,02,2022
Navalcarnero,162.0,6.0,20.0,312.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Navarredonda y San Mamï¿½s,7.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,02,2022
Navas del Rey,221.0,13.0,25.0,59.0,5.0,47.0,72.0,5.0,7.0,24.0,168.0,17.0,02,2022
Nuevo Baztï¿½n,395.0,17.0,48.0,82.0,9.0,88.0,151.0,5.0,41.0,34.0,296.0,22.0,02,2022
Olmeda de las Fuentes,11.0,0.0,5.0,5.0,0.0,5.0,6.0,5.0,0.0,0.0,11.0,0.0,02,2022
Orusco de Tajuï¿½a,105.0,5.0,18.0,29.0,6.0,19.0,29.0,5.0,6.0,12.0,74.0,11.0,02,2022
Paracuellos de Jarama,875.0,18.0,117.0,185.0,17.0,217.0,321.0,5.0,64.0,52.0,721.0,21.0,02,2022
Parla,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Patones,19.0,0.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,0.0,02,2022
Pedrezuela,300.0,7.0,38.0,70.0,5.0,87.0,94.0,5.0,25.0,20.0,243.0,9.0,02,2022
Pelayos de la Presa,259.0,10.0,47.0,59.0,10.0,53.0,80.0,5.0,11.0,26.0,195.0,23.0,02,2022
Perales de Tajuï¿½a,274.0,9.0,36.0,52.0,9.0,60.0,108.0,5.0,30.0,27.0,187.0,28.0,02,2022
Pezuela de las Torres,37.0,5.0,5.0,15.0,5.0,8.0,10.0,5.0,5.0,5.0,30.0,0.0,02,2022
Pinilla del Valle,13.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,12.0,0.0,02,2022
Pinto,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Piï¿½uï¿½car-Gandullas,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,9.0,0.0,02,2022
Pozuelo de Alarcï¿½n,162.0,43.0,20.0,39.0,32.0,36.0,52.0,5.0,95.0,94.0,128.0,10.0,02,2022
Pozuelo del Rey,78.0,0.0,11.0,17.0,5.0,19.0,28.0,5.0,8.0,6.0,61.0,5.0,02,2022
Prï¿½dena del Rincï¿½n,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,02,2022
Puebla de la Sierra,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,02,2022
Quijorna,182.0,9.0,23.0,37.0,5.0,40.0,69.0,5.0,6.0,20.0,144.0,11.0,02,2022
Rascafrï¿½a,83.0,5.0,11.0,28.0,5.0,16.0,24.0,5.0,5.0,9.0,68.0,5.0,02,2022
Redueï¿½a,12.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,02,2022
Ribatejada,59.0,5.0,5.0,15.0,5.0,8.0,28.0,5.0,0.0,0.0,55.0,5.0,02,2022
Rivas-Vaciamadrid,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Robledillo de la Jara,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,02,2022
Robledo de Chavela,288.0,8.0,35.0,68.0,14.0,61.0,102.0,6.0,10.0,29.0,229.0,14.0,02,2022
Robregordo,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,02,2022
"Rozas de Madrid, Las",162.0,39.0,20.0,39.0,5.0,36.0,52.0,9.0,96.0,13.0,128.0,10.0,02,2022
Rozas de Puerto Real,24.0,5.0,5.0,9.0,0.0,5.0,7.0,5.0,5.0,5.0,20.0,0.0,02,2022
San Agustï¿½n del Guadalix,528.0,9.0,72.0,132.0,11.0,94.0,210.0,5.0,44.0,44.0,427.0,11.0,02,2022
San Fernando de Henares,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
San Lorenzo de El Escorial,882.0,28.0,127.0,218.0,28.0,185.0,296.0,5.0,22.0,50.0,767.0,41.0,02,2022
San Martï¿½n de la Vega,1385.0,6.0,179.0,281.0,5.0,36.0,446.0,5.0,85.0,13.0,1035.0,10.0,02,2022
San Martï¿½n de Valdeiglesias,658.0,32.0,94.0,163.0,28.0,172.0,169.0,5.0,31.0,81.0,464.0,63.0,02,2022
San Sebastiï¿½n de los Reyes,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Santa Marï¿½a de la Alameda,100.0,5.0,11.0,26.0,0.0,22.0,36.0,5.0,5.0,6.0,87.0,5.0,02,2022
Santorcaz,53.0,5.0,7.0,10.0,5.0,11.0,23.0,5.0,5.0,5.0,45.0,5.0,02,2022
"Santos de la Humosa, Los",140.0,5.0,17.0,39.0,6.0,37.0,37.0,5.0,16.0,9.0,109.0,6.0,02,2022
"Serna del Monte, La",10.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,02,2022
Serranillos del Valle,236.0,5.0,19.0,47.0,10.0,61.0,94.0,5.0,16.0,18.0,186.0,15.0,02,2022
Sevilla la Nueva,455.0,18.0,69.0,104.0,7.0,91.0,166.0,5.0,26.0,31.0,375.0,21.0,02,2022
Somosierra,7.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,6.0,0.0,02,2022
Soto del Real,347.0,14.0,46.0,102.0,7.0,65.0,113.0,5.0,20.0,18.0,299.0,7.0,02,2022
Talamanca de Jarama,190.0,5.0,23.0,51.0,5.0,49.0,57.0,5.0,8.0,17.0,162.0,5.0,02,2022
Tielmes,194.0,5.0,32.0,44.0,5.0,50.0,59.0,7.0,27.0,11.0,134.0,15.0,02,2022
Titulcia,107.0,5.0,17.0,20.0,5.0,26.0,35.0,5.0,7.0,5.0,86.0,7.0,02,2022
Torrejï¿½n de Ardoz,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Torrejï¿½n de la Calzada,445.0,17.0,37.0,65.0,13.0,144.0,169.0,7.0,44.0,23.0,338.0,33.0,02,2022
Torrejï¿½n de Velasco,203.0,15.0,17.0,38.0,5.0,50.0,79.0,5.0,17.0,18.0,151.0,17.0,02,2022
Torrelaguna,247.0,11.0,37.0,52.0,11.0,66.0,70.0,5.0,9.0,16.0,201.0,18.0,02,2022
Torrelodones,744.0,19.0,92.0,174.0,11.0,144.0,304.0,5.0,26.0,28.0,654.0,34.0,02,2022
Torremocha de Jarama,47.0,5.0,6.0,13.0,5.0,7.0,17.0,5.0,5.0,5.0,35.0,5.0,02,2022
Torres de la Alameda,496.0,32.0,74.0,92.0,20.0,109.0,169.0,10.0,74.0,28.0,343.0,41.0,02,2022
Valdaracete,58.0,0.0,7.0,9.0,5.0,14.0,26.0,5.0,8.0,8.0,39.0,5.0,02,2022
Valdeavero,110.0,5.0,16.0,20.0,5.0,31.0,38.0,5.0,8.0,8.0,88.0,5.0,02,2022
Valdelaguna,64.0,5.0,11.0,11.0,0.0,22.0,17.0,5.0,9.0,5.0,47.0,5.0,02,2022
Valdemanco,48.0,0.0,9.0,14.0,5.0,13.0,11.0,5.0,5.0,6.0,37.0,5.0,02,2022
Valdemaqueda,70.0,5.0,12.0,14.0,5.0,13.0,23.0,5.0,5.0,9.0,54.0,5.0,02,2022
Valdemorillo,621.0,10.0,77.0,180.0,12.0,116.0,226.0,5.0,26.0,47.0,518.0,25.0,02,2022
Valdemoro,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,02,2022
Valdeolmos-Alalpardo,162.0,5.0,31.0,47.0,5.0,38.0,42.0,5.0,10.0,18.0,129.0,5.0,02,2022
Valdepiï¿½lagos,25.0,0.0,5.0,5.0,5.0,5.0,12.0,5.0,5.0,0.0,22.0,5.0,02,2022
Valdetorres de Jarama,266.0,7.0,34.0,68.0,11.0,57.0,89.0,5.0,18.0,25.0,213.0,10.0,02,2022
Valdilecha,239.0,6.0,33.0,48.0,5.0,63.0,84.0,10.0,27.0,18.0,166.0,18.0,02,2022
Valverde de Alcalï¿½,23.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17.0,5.0,02,2022
Velilla de San Antonio,672.0,30.0,88.0,126.0,30.0,140.0,258.0,5.0,49.0,36.0,550.0,32.0,02,2022
"Vellï¿½n, El",122.0,5.0,17.0,23.0,7.0,35.0,36.0,5.0,5.0,10.0,94.0,11.0,02,2022
Venturada,93.0,5.0,13.0,30.0,5.0,17.0,31.0,5.0,8.0,5.0,75.0,5.0,02,2022
Villaconejos,239.0,8.0,35.0,38.0,7.0,69.0,82.0,5.0,12.0,18.0,183.0,11.0,02,2022
Villa del Prado,441.0,14.0,80.0,116.0,20.0,116.0,95.0,5.0,15.0,50.0,314.0,27.0,02,2022
Villalbilla,605.0,28.0,74.0,98.0,16.0,197.0,192.0,5.0,68.0,21.0,487.0,26.0,02,2022
Villamanrique de Tajo,59.0,5.0,5.0,12.0,5.0,17.0,23.0,5.0,6.0,0.0,46.0,5.0,02,2022
Villamanta,159.0,8.0,21.0,28.0,8.0,44.0,50.0,5.0,8.0,10.0,123.0,17.0,02,2022
Villamantilla,100.0,6.0,13.0,23.0,5.0,26.0,28.0,5.0,7.0,7.0,73.0,12.0,02,2022
Villanueva de la Caï¿½ada,729.0,21.0,93.0,182.0,13.0,155.0,265.0,6.0,39.0,39.0,610.0,35.0,02,2022
Villanueva del Pardillo,663.0,14.0,85.0,175.0,11.0,133.0,245.0,6.0,26.0,40.0,568.0,23.0,02,2022
Villanueva de Perales,96.0,6.0,11.0,28.0,5.0,19.0,30.0,5.0,6.0,12.0,70.0,7.0,02,2022
Villar del Olmo,137.0,8.0,19.0,33.0,5.0,28.0,45.0,5.0,15.0,14.0,99.0,8.0,02,2022
Villarejo de Salvanï¿½s,566.0,24.0,69.0,99.0,21.0,134.0,219.0,5.0,112.0,26.0,352.0,60.0,02,2022
Villaviciosa de Odï¿½n,861.0,20.0,132.0,209.0,15.0,150.0,335.0,5.0,57.0,55.0,699.0,46.0,02,2022
Villavieja del Lozoya,17.0,5.0,5.0,8.0,0.0,5.0,5.0,5.0,0.0,0.0,16.0,0.0,02,2022
Zarzalejo,135.0,12.0,12.0,35.0,5.0,27.0,46.0,5.0,5.0,8.0,113.0,10.0,02,2022
Lozoyuela-Navas-Sieteiglesias,75.0,5.0,7.0,20.0,5.0,17.0,26.0,5.0,5.0,5.0,64.0,5.0,02,2022
Puentes Viejas,33.0,0.0,10.0,7.0,0.0,5.0,11.0,5.0,0.0,5.0,27.0,0.0,02,2022
Tres Cantos,162.0,46.0,20.0,39.0,33.0,36.0,52.0,10.0,77.0,78.0,128.0,47.0,02,2022
"Acebeda, La",5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,03,2022
Ajalvir,213.0,7.0,22.0,57.0,5.0,47.0,76.0,6.0,16.0,8.0,177.0,6.0,03,2022
Alameda del Valle,11.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,03,2022
"ï¿½lamo, El",591.0,26.0,84.0,137.0,35.0,136.0,173.0,6.0,29.0,57.0,436.0,63.0,03,2022
Alcalï¿½ de Henares,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Alcobendas,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Alcorcï¿½n,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Aldea del Fresno,222.0,8.0,30.0,59.0,9.0,48.0,68.0,5.0,18.0,19.0,161.0,19.0,03,2022
Algete,912.0,35.0,120.0,195.0,27.0,172.0,363.0,5.0,82.0,60.0,734.0,33.0,03,2022
Alpedrete,683.0,24.0,89.0,182.0,17.0,120.0,251.0,5.0,39.0,42.0,554.0,46.0,03,2022
Ambite,48.0,5.0,5.0,11.0,5.0,12.0,18.0,5.0,5.0,5.0,42.0,5.0,03,2022
Anchuelo,70.0,6.0,10.0,12.0,5.0,22.0,17.0,5.0,5.0,5.0,51.0,9.0,03,2022
Aranjuez,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Arganda del Rey,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Arroyomolinos,1422.0,6.0,20.0,234.0,5.0,36.0,483.0,10.0,104.0,91.0,1101.0,10.0,03,2022
"Atazar, El",13.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,03,2022
Batres,91.0,6.0,11.0,15.0,5.0,22.0,36.0,5.0,8.0,5.0,75.0,5.0,03,2022
Becerril de la Sierra,289.0,7.0,37.0,82.0,11.0,56.0,96.0,5.0,11.0,26.0,231.0,17.0,03,2022
Belmonte de Tajo,116.0,5.0,20.0,13.0,5.0,42.0,35.0,5.0,10.0,5.0,96.0,5.0,03,2022
Berzosa del Lozoya,6.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,03,2022
"Berrueco, El",33.0,0.0,6.0,7.0,0.0,8.0,12.0,5.0,5.0,5.0,25.0,5.0,03,2022
Boadilla del Monte,162.0,35.0,171.0,39.0,27.0,278.0,52.0,5.0,71.0,64.0,128.0,43.0,03,2022
"Boalo, El",396.0,5.0,52.0,88.0,7.0,98.0,146.0,5.0,19.0,21.0,338.0,15.0,03,2022
Braojos,8.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,6.0,5.0,03,2022
Brea de Tajo,50.0,5.0,5.0,12.0,5.0,8.0,20.0,5.0,5.0,0.0,40.0,5.0,03,2022
Brunete,472.0,12.0,62.0,113.0,17.0,100.0,168.0,5.0,20.0,29.0,401.0,18.0,03,2022
Buitrago del Lozoya,84.0,5.0,14.0,10.0,5.0,28.0,24.0,5.0,5.0,7.0,58.0,10.0,03,2022
Bustarviejo,158.0,5.0,16.0,48.0,5.0,37.0,47.0,7.0,5.0,6.0,134.0,7.0,03,2022
Cabanillas de la Sierra,39.0,0.0,5.0,14.0,0.0,8.0,14.0,5.0,5.0,5.0,34.0,0.0,03,2022
"Cabrera, La",166.0,6.0,25.0,51.0,5.0,33.0,47.0,5.0,9.0,18.0,134.0,5.0,03,2022
Cadalso de los Vidrios,299.0,16.0,45.0,57.0,16.0,86.0,79.0,5.0,16.0,30.0,222.0,16.0,03,2022
Camarma de Esteruelas,459.0,18.0,61.0,79.0,20.0,98.0,183.0,5.0,48.0,33.0,353.0,23.0,03,2022
Campo Real,461.0,21.0,48.0,91.0,15.0,141.0,145.0,5.0,59.0,33.0,324.0,40.0,03,2022
Canencia,24.0,0.0,5.0,10.0,5.0,5.0,8.0,5.0,5.0,5.0,20.0,5.0,03,2022
Carabaï¿½a,153.0,8.0,15.0,29.0,8.0,39.0,54.0,5.0,9.0,15.0,114.0,11.0,03,2022
Casarrubuelos,231.0,9.0,33.0,43.0,8.0,60.0,78.0,5.0,33.0,11.0,178.0,9.0,03,2022
Cenicientos,184.0,7.0,29.0,39.0,11.0,49.0,49.0,5.0,11.0,20.0,128.0,13.0,03,2022
Cercedilla,375.0,16.0,59.0,94.0,11.0,96.0,99.0,5.0,12.0,36.0,290.0,33.0,03,2022
Cervera de Buitrago,11.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,9.0,5.0,03,2022
Ciempozuelos,162.0,6.0,20.0,309.0,5.0,36.0,471.0,5.0,10.0,13.0,128.0,10.0,03,2022
Cobeï¿½a,247.0,5.0,31.0,60.0,5.0,49.0,98.0,5.0,20.0,24.0,184.0,17.0,03,2022
Colmenar del Arroyo,116.0,5.0,17.0,35.0,0.0,21.0,40.0,5.0,8.0,11.0,90.0,5.0,03,2022
Colmenar de Oreja,577.0,25.0,75.0,121.0,12.0,140.0,204.0,5.0,79.0,77.0,387.0,21.0,03,2022
Colmenarejo,481.0,12.0,75.0,128.0,14.0,97.0,155.0,5.0,14.0,43.0,404.0,15.0,03,2022
Colmenar Viejo,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Collado Mediano,421.0,9.0,58.0,120.0,12.0,79.0,143.0,5.0,17.0,54.0,317.0,30.0,03,2022
Collado Villalba,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Corpa,55.0,5.0,6.0,11.0,5.0,18.0,16.0,5.0,10.0,5.0,39.0,5.0,03,2022
Coslada,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Cubas de la Sagra,264.0,10.0,28.0,49.0,11.0,74.0,92.0,5.0,26.0,17.0,208.0,12.0,03,2022
Chapinerï¿½a,145.0,5.0,18.0,40.0,5.0,28.0,51.0,5.0,11.0,11.0,114.0,7.0,03,2022
Chinchï¿½n,352.0,11.0,49.0,77.0,13.0,88.0,114.0,5.0,27.0,17.0,253.0,33.0,03,2022
Daganzo de Arriba,487.0,13.0,45.0,102.0,17.0,67.0,243.0,5.0,71.0,20.0,370.0,23.0,03,2022
"Escorial, El",747.0,30.0,104.0,194.0,19.0,143.0,257.0,5.0,25.0,57.0,603.0,57.0,03,2022
Estremera,90.0,5.0,14.0,25.0,5.0,21.0,25.0,5.0,9.0,11.0,58.0,8.0,03,2022
Fresnedillas de la Oliva,129.0,5.0,22.0,36.0,5.0,22.0,42.0,5.0,5.0,14.0,100.0,11.0,03,2022
Fresno de Torote,155.0,10.0,15.0,32.0,5.0,44.0,53.0,5.0,15.0,8.0,121.0,9.0,03,2022
Fuenlabrada,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Fuente el Saz de Jarama,387.0,12.0,51.0,94.0,14.0,91.0,125.0,5.0,20.0,27.0,309.0,27.0,03,2022
Fuentidueï¿½a de Tajo,192.0,7.0,27.0,30.0,8.0,50.0,70.0,10.0,21.0,12.0,141.0,8.0,03,2022
Galapagar,162.0,42.0,20.0,39.0,5.0,36.0,52.0,5.0,60.0,13.0,128.0,10.0,03,2022
Garganta de los Montes,20.0,5.0,5.0,11.0,0.0,0.0,6.0,5.0,5.0,5.0,15.0,0.0,03,2022
Gargantilla del Lozoya y Pinilla de Buitrago,27.0,0.0,5.0,12.0,0.0,5.0,8.0,5.0,0.0,0.0,26.0,5.0,03,2022
Gascones,13.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,12.0,5.0,03,2022
Getafe,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Griï¿½ï¿½n,455.0,18.0,59.0,74.0,15.0,120.0,169.0,5.0,38.0,29.0,357.0,28.0,03,2022
Guadalix de la Sierra,374.0,9.0,55.0,100.0,6.0,79.0,125.0,8.0,17.0,34.0,292.0,23.0,03,2022
Guadarrama,779.0,34.0,121.0,190.0,29.0,171.0,234.0,7.0,23.0,58.0,643.0,48.0,03,2022
"Hiruela, La",5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,03,2022
Horcajo de la Sierra-Aoslos,9.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,03,2022
Horcajuelo de la Sierra,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,03,2022
Hoyo de Manzanares,319.0,11.0,45.0,95.0,8.0,49.0,111.0,5.0,14.0,23.0,264.0,14.0,03,2022
Humanes de Madrid,1269.0,6.0,20.0,192.0,5.0,36.0,403.0,5.0,10.0,88.0,941.0,10.0,03,2022
Leganï¿½s,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Loeches,518.0,22.0,50.0,89.0,23.0,135.0,199.0,7.0,56.0,36.0,402.0,17.0,03,2022
Lozoya,28.0,5.0,5.0,8.0,0.0,5.0,12.0,5.0,5.0,5.0,21.0,5.0,03,2022
Madarcos,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,03,2022
Madrid,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Majadahonda,162.0,6.0,20.0,39.0,34.0,36.0,52.0,10.0,90.0,13.0,128.0,69.0,03,2022
Manzanares el Real,434.0,9.0,59.0,113.0,9.0,100.0,144.0,5.0,22.0,27.0,374.0,9.0,03,2022
Meco,796.0,28.0,116.0,165.0,20.0,187.0,280.0,5.0,94.0,61.0,608.0,31.0,03,2022
Mejorada del Campo,162.0,6.0,20.0,283.0,5.0,36.0,475.0,5.0,10.0,13.0,1105.0,63.0,03,2022
Miraflores de la Sierra,381.0,11.0,60.0,96.0,5.0,80.0,130.0,5.0,20.0,42.0,300.0,14.0,03,2022
"Molar, El",492.0,16.0,66.0,114.0,14.0,118.0,164.0,5.0,36.0,39.0,392.0,22.0,03,2022
"Molinos, Los",224.0,12.0,39.0,47.0,7.0,47.0,72.0,5.0,5.0,25.0,174.0,18.0,03,2022
Montejo de la Sierra,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,0.0,03,2022
Moraleja de Enmedio,264.0,12.0,27.0,49.0,17.0,75.0,84.0,5.0,32.0,12.0,201.0,18.0,03,2022
Moralzarzal,580.0,24.0,63.0,163.0,14.0,94.0,222.0,6.0,25.0,40.0,485.0,24.0,03,2022
Morata de Tajuï¿½a,543.0,22.0,69.0,115.0,17.0,135.0,185.0,5.0,67.0,34.0,384.0,31.0,03,2022
Mï¿½stoles,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Navacerrada,131.0,7.0,12.0,34.0,7.0,29.0,42.0,5.0,5.0,5.0,109.0,12.0,03,2022
Navalafuente,100.0,5.0,9.0,31.0,5.0,27.0,27.0,5.0,5.0,8.0,81.0,6.0,03,2022
Navalagamella,174.0,5.0,23.0,45.0,5.0,43.0,58.0,5.0,5.0,18.0,132.0,15.0,03,2022
Navalcarnero,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Navarredonda y San Mamï¿½s,6.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,03,2022
Navas del Rey,210.0,11.0,24.0,58.0,5.0,44.0,70.0,5.0,7.0,22.0,161.0,15.0,03,2022
Nuevo Baztï¿½n,379.0,19.0,41.0,81.0,7.0,83.0,148.0,5.0,37.0,29.0,285.0,26.0,03,2022
Olmeda de las Fuentes,12.0,0.0,5.0,5.0,0.0,5.0,6.0,5.0,0.0,0.0,11.0,0.0,03,2022
Orusco de Tajuï¿½a,101.0,5.0,17.0,28.0,6.0,18.0,30.0,5.0,7.0,12.0,72.0,8.0,03,2022
Paracuellos de Jarama,866.0,21.0,117.0,180.0,18.0,205.0,325.0,5.0,62.0,53.0,709.0,22.0,03,2022
Parla,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Patones,16.0,0.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,0.0,03,2022
Pedrezuela,296.0,8.0,42.0,72.0,5.0,77.0,92.0,6.0,26.0,19.0,232.0,13.0,03,2022
Pelayos de la Presa,261.0,11.0,43.0,62.0,12.0,53.0,80.0,5.0,12.0,28.0,192.0,25.0,03,2022
Perales de Tajuï¿½a,285.0,6.0,38.0,53.0,11.0,65.0,112.0,5.0,32.0,26.0,198.0,27.0,03,2022
Pezuela de las Torres,37.0,5.0,5.0,13.0,5.0,8.0,11.0,5.0,5.0,5.0,29.0,5.0,03,2022
Pinilla del Valle,11.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,0.0,03,2022
Pinto,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Piï¿½uï¿½car-Gandullas,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,8.0,0.0,03,2022
Pozuelo de Alarcï¿½n,162.0,45.0,20.0,39.0,34.0,36.0,52.0,5.0,104.0,91.0,128.0,10.0,03,2022
Pozuelo del Rey,69.0,5.0,9.0,14.0,5.0,17.0,25.0,5.0,9.0,5.0,54.0,5.0,03,2022
Prï¿½dena del Rincï¿½n,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,03,2022
Puebla de la Sierra,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,03,2022
Quijorna,190.0,8.0,21.0,44.0,5.0,46.0,68.0,5.0,9.0,20.0,150.0,9.0,03,2022
Rascafrï¿½a,90.0,5.0,12.0,29.0,5.0,16.0,27.0,5.0,6.0,9.0,71.0,5.0,03,2022
Redueï¿½a,13.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,03,2022
Ribatejada,62.0,5.0,7.0,15.0,5.0,7.0,26.0,5.0,5.0,5.0,53.0,5.0,03,2022
Rivas-Vaciamadrid,162.0,6.0,20.0,39.0,5.0,36.0,52.0,5.0,10.0,13.0,128.0,10.0,03,2022
Robledillo de la Jara,6.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,03,2022
Robledo de Chavela,308.0,17.0,38.0,70.0,14.0,67.0,102.0,6.0,14.0,30.0,234.0,24.0,03,2022
Robregordo,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,03,2022
"Rozas de Madrid, Las",162.0,46.0,20.0,39.0,5.0,36.0,52.0,10.0,95.0,13.0,128.0,10.0,03,2022
Rozas de Puerto Real,27.0,5.0,5.0,9.0,0.0,5.0,7.0,5.0,5.0,5.0,23.0,5.0,03,2022
San Agustï¿½n del Guadalix,535.0,7.0,79.0,139.0,10.0,91.0,209.0,5.0,42.0,42.0,440.0,8.0,03,2022
