 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
Piï¿½uï¿½car-Gandullas,16.0,1.0,4.0,2.0,1.0,6.0,2.0,0.0,0.0,1.0,12.0,3.0,02,2021
Pozuelo de Alarcï¿½n,195.0,9.0,28.5,47.0,7.0,44.0,58.0,14.0,104.0,125.0,147.0,13.0,02,2021
Pozuelo del Rey,94.0,1.0,14.0,13.0,4.0,29.0,33.0,0.0,13.0,9.0,68.0,4.0,02,2021
Prï¿½dena del Rincï¿½n,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,02,2021
Puebla de la Sierra,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,02,2021
Quijorna,232.0,12.0,37.0,48.0,4.0,57.0,74.0,4.0,8.0,18.0,187.0,15.0,02,2021
Rascafrï¿½a,95.0,6.0,12.0,29.0,3.0,15.0,30.0,3.0,4.0,6.0,79.0,3.0,02,2021
Redueï¿½a,23.0,2.0,4.0,6.0,0.0,4.0,7.0,1.0,3.0,3.0,15.0,1.0,02,2021
Ribatejada,69.0,5.0,4.0,16.0,4.0,14.0,26.0,2.0,1.0,2.0,61.0,3.0,02,2021
Rivas-Vaciamadrid,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Robledillo de la Jara,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,02,2021
Robledo de Chavela,358.0,27.0,57.0,76.0,26.0,74.0,98.0,12.0,13.0,24.0,276.0,33.0,02,2021
Robregordo,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,02,2021
"Rozas de Madrid, Las",195.0,9.0,28.5,47.0,7.0,44.0,58.0,7.0,127.0,17.0,147.0,13.0,02,2021
Rozas de Puerto Real,45.0,3.0,11.0,11.0,2.0,7.0,11.0,0.0,2.0,6.0,35.0,2.0,02,2021
San Agustï¿½n del Guadalix,684.0,19.0,94.0,168.0,19.0,149.0,235.0,4.0,60.0,41.0,565.0,14.0,02,2021
San Fernando de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,13.0,12.0,17.0,147.0,13.0,02,2021
San Lorenzo de El Escorial,1154.0,59.0,204.0,262.0,47.0,238.0,344.0,6.0,29.0,73.0,989.0,57.0,02,2021
San Martï¿½n de la Vega,1731.0,9.0,28.5,328.0,7.0,44.0,470.0,3.0,116.0,17.0,1294.0,13.0,02,2021
San Martï¿½n de Valdeiglesias,823.0,40.0,141.0,181.0,37.0,231.0,193.0,20.0,37.0,98.0,589.0,79.0,02,2021
San Sebastiï¿½n de los Reyes,195.0,9.0,28.5,47.0,7.0,44.0,58.0,19.0,12.0,17.0,147.0,13.0,02,2021
Santa Marï¿½a de la Alameda,121.0,5.0,13.0,34.0,4.0,25.0,40.0,0.0,5.0,5.0,105.0,6.0,02,2021
Santorcaz,51.0,2.0,10.0,9.0,1.0,11.0,18.0,1.0,5.0,2.0,39.0,4.0,02,2021
"Santos de la Humosa, Los",173.0,9.0,35.0,28.0,5.0,51.0,45.0,0.0,20.0,11.0,134.0,8.0,02,2021
"Serna del Monte, La",8.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,02,2021
Serranillos del Valle,291.0,14.0,40.0,60.0,20.0,75.0,82.0,0.0,31.0,29.0,212.0,19.0,02,2021
Sevilla la Nueva,631.0,33.0,91.0,146.0,28.0,137.0,196.0,4.0,32.0,48.0,510.0,37.0,02,2021
Somosierra,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,02,2021
Soto del Real,444.0,29.0,70.0,122.0,16.0,78.0,129.0,2.0,25.0,28.0,370.0,19.0,02,2021
Talamanca de Jarama,246.0,10.0,44.0,58.0,6.0,68.0,60.0,1.0,13.0,15.0,211.0,6.0,02,2021
Tielmes,253.0,11.0,35.0,67.0,5.0,58.0,77.0,9.0,27.0,25.0,169.0,23.0,02,2021
Titulcia,125.0,7.0,20.0,23.0,11.0,29.0,35.0,2.0,7.0,9.0,97.0,10.0,02,2021
Torrejï¿½n de Ardoz,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Torrejï¿½n de la Calzada,550.0,26.0,70.0,84.0,28.0,164.0,178.0,6.0,50.0,30.0,418.0,46.0,02,2021
Torrejï¿½n de Velasco,271.0,16.0,42.0,46.0,15.0,50.0,102.0,1.0,35.0,21.0,191.0,23.0,02,2021
Torrelaguna,325.0,18.0,53.0,77.0,15.0,80.0,82.0,5.0,17.0,31.0,247.0,25.0,02,2021
Torrelodones,913.0,26.0,139.0,224.0,17.0,179.0,328.0,6.0,39.0,38.0,788.0,42.0,02,2021
Torremocha de Jarama,57.0,5.0,10.0,14.0,3.0,9.0,16.0,4.0,3.0,5.0,42.0,3.0,02,2021
Torres de la Alameda,628.0,59.0,106.0,97.0,30.0,162.0,174.0,13.0,93.0,37.0,426.0,59.0,02,2021
Valdaracete,62.0,0.0,6.0,14.0,2.0,13.0,27.0,3.0,12.0,6.0,40.0,1.0,02,2021
Valdeavero,125.0,5.0,18.0,27.0,5.0,37.0,33.0,1.0,12.0,9.0,93.0,10.0,02,2021
Valdelaguna,66.0,3.0,8.0,15.0,3.0,19.0,18.0,7.0,8.0,4.0,42.0,5.0,02,2021
Valdemanco,58.0,3.0,6.0,14.0,1.0,15.0,19.0,0.0,4.0,3.0,46.0,5.0,02,2021
Valdemaqueda,91.0,6.0,14.0,25.0,3.0,21.0,22.0,1.0,3.0,17.0,66.0,4.0,02,2021
Valdemorillo,814.0,21.0,116.0,225.0,25.0,154.0,273.0,3.0,38.0,62.0,676.0,35.0,02,2021
Valdemoro,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Valdeolmos-Alalpardo,190.0,9.0,42.0,44.0,6.0,43.0,46.0,2.0,6.0,18.0,152.0,12.0,02,2021
Valdepiï¿½lagos,33.0,1.0,6.0,2.0,1.0,6.0,17.0,0.0,3.0,0.0,29.0,1.0,02,2021
Valdetorres de Jarama,334.0,27.0,42.0,80.0,12.0,72.0,101.0,2.0,31.0,26.0,257.0,18.0,02,2021
